sample_000.wav|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition
sample_001.wav|in being comparatively modern.
sample_002.wav|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process
sample_003.wav|produced the block books, which were the immediate predecessors of the true printed book,
sample_004.wav|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
sample_005.wav|And it is worth mention in passing that, as an example of fine typography,
sample_006.wav|the earliest book printed with movable types, the Gutenberg, or "forty-two line Bible" of about fourteen fifty-five,
sample_007.wav|has never been surpassed.
sample_008.wav|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.
sample_009.wav|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,
sample_010.wav|it is of the first importance that the letter used should be fine in form;
sample_011.wav|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters
sample_012.wav|than in the same operations with ugly ones.
sample_013.wav|And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,
sample_014.wav|the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.
sample_015.wav|The Middle Ages brought calligraphy to perfection, and it was natural therefore
sample_016.wav|that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.
sample_017.wav|The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,
sample_018.wav|and which developed more completely and satisfactorily on the side of the "lower-case" than the capital letters;
sample_019.wav|the "lower-case" being in fact invented in the early Middle Ages.